service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20240818,20240921
2,0,0,0,0,0,1,0,20240818,20240921
3,0,0,0,0,0,0,1,20240818,20240921
4,0,0,1,0,0,0,0,20240818,20240921
5,0,0,0,1,0,0,0,20240818,20240921
6,1,1,1,1,0,0,0,20240818,20240921
7,0,0,0,0,0,1,0,20240818,20240921
8,0,0,0,0,0,0,1,20240818,20240921
9,0,0,0,0,1,0,0,20240818,20240921
10,0,0,0,0,1,0,0,20240818,20240921
11,0,0,0,0,1,0,0,20240818,20240921
12,1,1,1,1,0,0,0,20240818,20240921
